DW_TEMPO;invoice_date;_year;_month;_quarter
c50c994c8b9c277df28538f42f969a1caf5e55d3b7f0d94c6b21eb7ffbfe53ef;2018-04-28;2018;4;2
88e9fbdff688f6600abbdb209c0d4a3ad15fe43ca0369df90bc15b4b17f595d9;2017-01-19;2017;1;1
101832c5f15f8cae95012657e84a78b416306a5e368937270e4bb887bb2e582f;2018-06-03;2018;6;2
0aed58beceec381e445312b9db657be95bdff93f0e52e2e4b9b19a760b581817;2018-09-26;2018;9;3
c9542319fe0a60748a4f0c526c5b460329e9a4cd34026f795ed5434e14730864;2019-03-06;2019;3;1
77d2da9b822abe603ef5c0828abfca6776a138cc06e379450d595ce6f59be2a4;2018-10-03;2018;10;4
1a3d0875fc8d4b618a738cc0b0d7946105c499ae0f6b217c39ad88d3141449cc;2019-01-28;2019;1;1
62af09e98d93889ea55eb122a849d7d45edc100875a463edff34be2907abad3a;2018-08-26;2018;8;3
184cddff1bc3228a6759b3c378bcb41112232be9c7f734d6f90de1aecf6f9d2f;2018-09-02;2018;9;3
7d6cfe9ddc208bcd2e046c54f00885a15d8f855b82f3b7ac08adfa231e3eabd4;2019-03-19;2019;3;1
ad9796d4643ea67adb972136a5874dc0daef79009280f611fe7424a98b18bb8d;2017-05-11;2017;5;2
b269a7199840cfb9f01345569f677c2cfaadd37d5a0604986f4149367c57e240;2017-07-22;2017;7;3
d7fc9c13a60154e4d6ef690b85b468e400bfc332265f3896afb2fe889dfe0484;2018-10-09;2018;10;4
022455202b4b67704200326f4165271f203893e7158e2cba2821c67678dc01fa;2018-06-28;2018;6;2
689012b2ca3ff805df1d0cff218e18d2d372db887d1158dfd6dec934b9658cf7;2019-01-22;2019;1;1
58df88d2393dfd0d049af5572f205a7571949046f3c5398f2134cb7f81c036e1;2019-03-05;2019;3;1
7f2ed7b6bbe2e946f4b5c14359c50e3e79591077d913c7448f0b8e69e3db0adf;2019-01-10;2019;1;1
f16e62ab2beb440d43ba172be42b3dcac2b4e773c3f8edaed437ddd7f9fd7297;2017-04-09;2017;4;2
42147922efa544af2c20086130140f78e544693c75e56d5944650d3d0871fd2d;2018-09-16;2018;9;3
8672222e6167274bbb516d04047ae43c83cc1a0c0fe7532d476186f77a995e84;2017-07-19;2017;7;3
a9982796e7af71340360a9d3e8ba794970630ae2935f61bd4e697813c2afdd7a;2017-09-21;2017;9;3
2070d2209ebabc6cb4d7394cee7a32804ace0b1a8f569500e51c49718c1e1eed;2018-06-16;2018;6;2
acbbe9fbf4df366c9ee3b688b96e7e258749e23a6147c92c9190d3498f776b1b;2018-12-16;2018;12;4
569f0a3c8276de671c1bb45ae923e928d1a5b06c5ccd957143940968270ad91e;2018-02-21;2018;2;1
03f00083f29fc69c160a1b8bd7d24708fa0b38cd2771f6ce396ebb133d699130;2017-02-08;2017;2;1
